customer_id,signup_date,country,age,gender,loyalty_tier,acquisition_channel
1.0,2021-04-08,BR,48.0,Male,Bronze,Referral
2.0,2023-04-28,IN,36.0,Female,Silver,Organic
3.0,2022-12-18,UK,35.0,Female,Silver,Organic
4.0,2022-04-26,US,45.0,Male,Silver,Paid Search
5.0,2022-04-20,IN,53.0,Male,Silver,Organic
6.0,2023-07-30,IN,31.0,Female,Bronze,Paid Search
7.0,2021-04-05,IN,35.0,Female,Silver,Social
8.0,2023-02-03,US,36.0,Male,Bronze,Organic
9.0,2021-08-09,BR,33.0,Female,Bronze,Paid Search
10.0,2021-04-14,US,36.0,Male,Bronze,Email
11.0,2022-07-31,CA,66.0,Male,Bronze,Email
12.0,2023-12-05,AU,32.0,Male,Bronze,Paid Search
13.0,2023-03-17,US,46.0,Male,Gold,Organic
14.0,2023-04-14,IN,27.0,Male,Silver,Paid Search
15.0,2023-02-25,UK,31.0,Male,Bronze,Paid Search
16.0,2023-05-11,AU,18.0,Male,Silver,Email
17.0,2022-07-16,BR,35.0,Female,Silver,Organic
18.0,2021-05-21,IN,22.0,Male,Silver,Paid Search
19.0,2023-07-09,AU,37.0,Female,Silver,Paid Search
20.0,2022-05-09,US,31.0,Male,Bronze,Paid Search
21.0,2022-07-02,US,19.0,Male,Bronze,Referral
22.0,2022-02-11,IN,34.0,Male,Silver,Organic
23.0,2021-07-19,CA,32.0,Male,Silver,Paid Search
24.0,2023-10-12,US,56.0,Female,Bronze,Email
25.0,2023-05-06,CA,37.0,Female,Silver,Paid Search
26.0,2022-12-07,US,22.0,Female,Bronze,Email
27.0,2022-03-17,US,39.0,Female,Silver,Organic
28.0,2023-06-20,AU,40.0,Male,Gold,Social
29.0,2022-08-21,DE,31.0,Male,Silver,Paid Search
30.0,2022-05-01,IN,33.0,Female,Bronze,Paid Search
31.0,2022-05-09,CA,42.0,Other,Platinum,Email
32.0,2021-09-06,IN,25.0,Male,Bronze,Paid Search
33.0,2021-04-11,US,53.0,Male,Gold,Referral
34.0,2022-08-31,IN,46.0,Male,Bronze,Organic
35.0,2023-08-31,AU,39.0,Female,Gold,Organic
