customer_id,signup_date,country,age,gender,loyalty_tier,acquisition_channel
1,4/8/2021,BR,48,Male,Bronze,Referral
2,4/28/2023,IN,36,Female,Silver,Organic
3,12/18/2022,UK,35,Female,Silver,Organic
4,4/26/2022,US,45,Male,Silver,Paid Search
5,4/20/2022,IN,53,Male,Silver,Organic
6,7/30/2023,IN,31,Female,Bronze,Paid Search
7,4/5/2021,IN,35,Female,Silver,Social
8,2/3/2023,US,36,Male,Bronze,Organic
9,8/9/2021,BR,33,Female,Bronze,Paid Search
10,4/14/2021,US,36,Male,Bronze,Email
11,7/31/2022,CA,66,Male,Bronze,Email
12,12/5/2023,AU,32,Male,Bronze,Paid Search
13,3/17/2023,US,46,Male,Gold,Organic
14,4/14/2023,IN,27,Male,Silver,Paid Search
15,2/25/2023,UK,31,Male,Bronze,Paid Search
16,5/11/2023,AU,18,Male,Silver,Email
17,7/16/2022,BR,35,Female,Silver,Organic
18,5/21/2021,IN,22,Male,Silver,Paid Search
19,7/9/2023,AU,37,Female,Silver,Paid Search
20,5/9/2022,US,31,Male,Bronze,Paid Search
21,7/2/2022,US,19,Male,Bronze,Referral
22,2/11/2022,IN,34,Male,Silver,Organic
23,7/19/2021,CA,32,Male,Silver,Paid Search
24,10/12/2023,US,56,Female,Bronze,Email
25,5/6/2023,CA,37,Female,Silver,Paid Search
26,12/7/2022,US,22,Female,Bronze,Email
27,3/17/2022,US,39,Female,Silver,Organic
28,6/20/2023,AU,40,Male,Gold,Social
29,8/21/2022,DE,31,Male,Silver,Paid Search
30,5/1/2022,IN,33,Female,Bronze,Paid Search
31,5/9/2022,CA,42,Other,Platinum,Email
32,9/6/2021,IN,25,Male,Bronze,Paid Search
33,4/11/2021,US,53,Male,Gold,Referral
34,8/31/2022,IN,46,Male,Bronze,Organic
35,8/31/2023,AU,39,Female,Gold,Organic
36,3/11/2021,US,23,Male,Bronze,Social
37,7/29/2023,US,48,Female,Bronze,Organic
38,6/26/2023,CA,23,Female,Bronze,Organic
39,10/31/2021,IN,37,Female,Gold,Referral
40,11/23/2022,US,33,Male,Bronze,Email
41,6/30/2021,IN,42,Female,Platinum,Organic
42,4/11/2023,BR,32,Female,Gold,Organic
43,2/7/2023,US,24,Female,Bronze,Paid Search
44,1/24/2022,US,29,Female,Bronze,Organic
45,3/16/2021,IN,31,Other,Bronze,Organic
46,11/29/2023,IN,46,Male,Gold,Organic
47,5/4/2022,US,35,Male,Bronze,Paid Search
48,9/5/2023,UK,24,Female,Silver,Email
49,1/13/2023,UK,43,Male,Bronze,Email
50,5/3/2023,UK,41,Male,Bronze,Organic
51,4/13/2023,IN,27,Male,Bronze,Paid Search
52,8/2/2021,US,26,Male,Silver,Referral
53,2/3/2022,US,32,Female,Gold,Email
54,5/27/2022,BR,29,Male,Silver,Organic
55,6/30/2022,UK,43,Male,Bronze,Organic
56,2/17/2021,IN,36,Male,Bronze,Organic
57,8/22/2022,UK,25,Female,Bronze,Paid Search
58,6/18/2021,US,36,Female,Silver,Social
59,3/25/2023,BR,36,Male,Platinum,Organic
60,1/18/2023,DE,25,Male,Silver,Paid Search
61,10/8/2023,US,30,Male,Bronze,Paid Search
62,3/27/2023,US,38,Female,Bronze,Referral
63,2/6/2022,US,48,Male,Silver,Social
64,11/26/2023,US,42,Female,Gold,Email
65,3/26/2022,IN,27,Male,Silver,Paid Search
66,12/23/2021,US,49,Female,Bronze,Paid Search
67,9/19/2023,DE,30,Female,Silver,Email
68,2/10/2022,IN,41,Male,Bronze,Organic
69,3/25/2021,US,47,Male,Silver,Email
70,5/30/2022,US,40,Female,Silver,Social
71,5/22/2023,US,30,Female,Bronze,Social
72,7/27/2021,IN,38,Male,Silver,Email
73,5/22/2022,UK,38,Male,Bronze,Email
74,5/23/2021,IN,24,Male,Bronze,Paid Search
75,1/22/2023,US,32,Female,Bronze,Referral
76,6/5/2022,AU,42,Female,Gold,Social
77,12/28/2021,IN,30,Female,Bronze,Social
78,9/6/2021,IN,28,Male,Bronze,Social
79,9/11/2022,IN,18,Male,Bronze,Email
80,1/4/2023,US,19,Male,Bronze,Social
81,10/27/2023,DE,57,Male,Bronze,Paid Search
82,4/24/2022,DE,26,Male,Gold,Organic
83,6/25/2021,US,28,Female,Bronze,Referral
84,7/1/2023,US,46,Female,Bronze,Organic
85,11/21/2022,IN,25,Male,Silver,Social
86,2/6/2023,IN,30,Female,Silver,Social
87,4/17/2021,AU,44,Other,Bronze,Organic
88,12/9/2021,IN,36,Male,Gold,Organic
89,4/21/2023,BR,21,Male,Bronze,Referral
90,7/1/2023,US,29,Male,Bronze,Email
91,4/22/2022,UK,44,Female,Bronze,Paid Search
92,6/1/2023,US,32,Female,Bronze,Email
93,7/11/2023,AU,35,Male,Silver,Organic
94,3/1/2022,UK,35,Male,Bronze,Social
95,9/11/2023,DE,47,Male,Platinum,Organic
96,11/12/2021,US,26,Male,Bronze,Email
97,9/20/2021,IN,19,Male,Silver,Organic
98,1/18/2023,UK,44,Female,Bronze,Paid Search
99,11/29/2022,US,21,Male,Bronze,Paid Search
100,6/3/2021,CA,21,Female,Bronze,Social
101,7/1/2023,IN,44,Male,Platinum,Organic
102,8/7/2021,UK,31,Male,Bronze,Referral
103,6/1/2023,IN,36,Male,Silver,Social
104,1/9/2021,DE,18,Female,Bronze,Organic
105,5/23/2023,US,41,Male,Silver,Social
106,5/12/2023,IN,25,Male,Silver,Paid Search
107,5/5/2023,BR,45,Male,Bronze,Organic
108,12/30/2022,US,34,Male,Bronze,Paid Search
109,6/1/2022,BR,43,Male,Bronze,Organic
110,2/12/2023,BR,39,Other,Bronze,Paid Search
111,10/31/2021,US,33,Female,Bronze,Paid Search
112,5/5/2023,US,29,Male,Silver,Social
113,9/1/2022,CA,27,Female,Bronze,Organic
114,5/18/2022,AU,46,Male,Bronze,Organic
115,7/8/2022,US,18,Female,Bronze,Organic
116,9/15/2022,BR,21,Male,Bronze,Referral
117,2/10/2021,US,32,Male,Silver,Organic
118,6/3/2021,IN,18,Female,Platinum,Social
119,9/26/2021,BR,31,Female,Bronze,Referral
120,5/6/2021,US,35,Female,Bronze,Paid Search
121,4/27/2022,CA,44,Female,Bronze,Email
122,1/2/2023,US,49,Female,Bronze,Referral
123,12/18/2022,IN,19,Male,Bronze,Organic
124,5/31/2022,AU,36,Male,Gold,Email
125,7/26/2023,US,44,Female,Bronze,Organic
126,9/11/2022,DE,39,Female,Bronze,Organic
127,3/28/2021,BR,40,Female,Silver,Organic
128,4/18/2023,CA,30,Female,Gold,Organic
129,9/22/2022,AU,31,Male,Bronze,Paid Search
130,11/27/2022,AU,27,Female,Bronze,Organic
131,9/12/2022,US,39,Female,Silver,Organic
132,8/30/2022,UK,47,Female,Silver,Paid Search
133,4/10/2021,IN,40,Male,Silver,Organic
134,9/5/2022,DE,25,Male,Bronze,Organic
135,5/21/2023,CA,26,Female,Silver,Organic
136,11/29/2021,US,23,Male,Bronze,Organic
137,10/23/2022,CA,23,Female,Bronze,Organic
138,2/3/2021,IN,36,Male,Bronze,Organic
139,1/16/2022,DE,23,Female,Gold,Referral
140,4/24/2022,IN,28,Male,Platinum,Paid Search
141,12/13/2023,US,44,Female,Silver,Paid Search
142,8/23/2021,DE,31,Male,Silver,Paid Search
143,10/30/2021,IN,32,Female,Gold,Organic
144,3/24/2022,BR,34,Male,Bronze,Referral
145,12/23/2023,CA,39,Female,Silver,Social
146,7/24/2023,BR,31,Male,Silver,Email
147,2/7/2021,CA,18,Female,Bronze,Referral
148,9/14/2021,BR,34,Female,Silver,Referral
149,6/19/2023,US,29,Male,Silver,Organic
150,3/5/2021,UK,52,Female,Bronze,Paid Search
151,7/26/2023,US,22,Male,Bronze,Email
152,11/5/2021,IN,41,Male,Bronze,Email
153,10/2/2023,BR,32,Female,Bronze,Social
154,11/18/2021,DE,59,Female,Gold,Email
155,4/21/2022,UK,40,Female,Silver,Referral
156,12/26/2022,DE,51,Other,Bronze,Paid Search
157,5/19/2021,US,18,Female,Silver,Email
158,9/2/2022,AU,33,Male,Bronze,Organic
159,7/7/2022,US,28,Female,Gold,Paid Search
160,5/9/2023,US,43,Other,Bronze,Organic
161,12/27/2023,US,39,Female,Bronze,Referral
162,12/29/2022,AU,41,Female,Silver,Paid Search
163,3/25/2022,IN,35,Female,Platinum,Paid Search
164,3/21/2022,IN,44,Female,Silver,Social
165,4/3/2022,IN,35,Other,Bronze,Organic
166,6/11/2023,US,29,Male,Silver,Organic
167,12/18/2021,US,36,Male,Silver,Organic
168,7/2/2021,US,47,Female,Bronze,Paid Search
169,1/2/2022,IN,40,Female,Bronze,Organic
170,1/25/2021,US,39,Female,Silver,Organic
171,4/27/2021,IN,41,Female,Bronze,Paid Search
172,4/9/2021,IN,37,Male,Silver,Paid Search
173,4/25/2023,IN,31,Male,Bronze,Paid Search
174,3/2/2023,BR,36,Female,Bronze,Organic
175,2/2/2023,US,18,Male,Silver,Organic
176,5/21/2022,IN,18,Female,Platinum,Referral
177,2/25/2023,US,42,Male,Bronze,Organic
178,6/26/2021,BR,24,Female,Bronze,Paid Search
179,9/14/2023,BR,23,Other,Silver,Organic
180,7/3/2022,US,37,Female,Bronze,Organic
181,10/25/2023,US,33,Female,Bronze,Social
182,6/16/2021,US,37,Female,Bronze,Organic
183,6/29/2022,US,24,Female,Bronze,Social
184,2/2/2023,US,39,Male,Bronze,Email
185,6/27/2022,US,30,Male,Bronze,Paid Search
186,5/4/2022,US,47,Female,Bronze,Referral
187,7/2/2021,US,30,Female,Bronze,Paid Search
188,2/22/2022,IN,39,Male,Bronze,Referral
189,9/19/2021,US,27,Male,Silver,Organic
190,11/27/2021,IN,54,Female,Bronze,Organic
191,1/19/2023,BR,33,Female,Bronze,Organic
192,11/22/2022,IN,38,Male,Bronze,Social
193,10/27/2022,US,43,Female,Bronze,Email
194,2/1/2022,BR,32,Male,Bronze,Referral
195,11/17/2023,US,58,Female,Bronze,Paid Search
196,4/6/2021,US,44,Female,Bronze,Organic
197,1/11/2022,UK,21,Male,Bronze,Email
198,5/10/2021,US,39,Male,Gold,Email
199,1/7/2022,IN,42,Male,Bronze,Organic
200,11/20/2023,CA,42,Male,Bronze,Paid Search
201,2/6/2022,UK,24,Male,Silver,Paid Search
202,9/22/2023,CA,32,Female,Bronze,Social
203,6/27/2022,US,44,Female,Bronze,Paid Search
204,2/6/2023,US,29,Female,Bronze,Email
205,5/16/2022,IN,25,Female,Bronze,Referral
206,10/19/2021,IN,26,Male,Bronze,Paid Search
207,4/17/2023,DE,28,Female,Bronze,Paid Search
208,11/28/2023,DE,18,Male,Bronze,Social
209,10/16/2021,US,25,Male,Platinum,Paid Search
210,5/3/2023,BR,38,Male,Bronze,Email
211,10/13/2021,US,46,Male,Bronze,Paid Search
212,2/24/2023,AU,31,Female,Bronze,Paid Search
213,5/14/2023,US,36,Male,Bronze,Organic
214,5/8/2022,DE,34,Female,Bronze,Paid Search
215,3/18/2023,UK,32,Female,Gold,Paid Search
216,10/26/2021,UK,23,Female,Bronze,Paid Search
217,3/28/2021,CA,22,Female,Bronze,Organic
218,4/16/2021,UK,47,Female,Silver,Organic
219,5/5/2022,UK,34,Female,Bronze,Social
220,9/16/2023,BR,41,Female,Silver,Paid Search
221,5/20/2021,US,35,Male,Bronze,Paid Search
222,5/15/2022,IN,48,Female,Platinum,Paid Search
223,2/10/2023,DE,22,Female,Bronze,Organic
224,8/10/2021,US,32,Male,Gold,Organic
225,3/2/2023,US,30,Female,Bronze,Referral
226,12/2/2021,US,27,Female,Bronze,Social
227,6/5/2023,US,18,Male,Silver,Organic
228,9/27/2022,DE,35,Female,Bronze,Organic
229,8/22/2022,UK,40,Female,Gold,Paid Search
230,7/13/2021,US,49,Male,Bronze,Email
231,5/23/2022,IN,31,Male,Bronze,Organic
232,7/27/2023,US,23,Male,Silver,Social
233,1/22/2021,AU,24,Male,Gold,Paid Search
234,4/11/2023,DE,27,Male,Silver,Email
235,6/24/2022,US,36,Female,Silver,Paid Search
236,2/27/2023,US,25,Male,Silver,Paid Search
237,12/28/2022,BR,35,Female,Bronze,Social
238,4/19/2022,UK,23,Male,Platinum,Social
239,12/4/2021,IN,33,Female,Silver,Email
240,11/18/2022,UK,55,Other,Bronze,Social
241,6/3/2021,IN,37,Female,Bronze,Social
242,10/2/2022,BR,25,Female,Bronze,Email
243,4/14/2021,BR,62,Male,Bronze,Social
244,12/13/2022,US,45,Female,Bronze,Organic
245,11/20/2022,DE,41,Female,Bronze,Email
246,4/3/2021,BR,32,Male,Bronze,Paid Search
247,4/10/2023,US,42,Female,Bronze,Social
248,4/1/2022,BR,42,Male,Silver,Paid Search
249,5/12/2023,IN,25,Male,Silver,Referral
250,2/15/2021,US,45,Other,Bronze,Organic
251,7/16/2021,AU,43,Other,Bronze,Paid Search
252,6/25/2022,DE,34,Female,Silver,Organic
253,7/26/2021,US,29,Male,Bronze,Organic
254,12/28/2021,IN,48,Female,Bronze,Paid Search
255,12/25/2022,UK,31,Female,Gold,Organic
256,6/8/2021,DE,35,Other,Bronze,Email
257,1/13/2023,US,24,Male,Bronze,Paid Search
258,4/24/2021,UK,24,Male,Bronze,Email
259,7/11/2021,BR,53,Male,Bronze,Paid Search
260,10/6/2022,CA,49,Male,Silver,Paid Search
261,5/19/2023,US,46,Female,Bronze,Organic
262,7/6/2021,AU,38,Female,Silver,Email
263,11/25/2021,US,21,Male,Silver,Social
264,10/11/2023,CA,39,Male,Bronze,Paid Search
265,12/20/2023,US,39,Male,Bronze,Paid Search
266,9/29/2022,AU,34,Female,Bronze,Paid Search
267,5/5/2022,BR,41,Female,Bronze,Referral
268,1/15/2022,BR,54,Male,Silver,Organic
269,11/2/2022,US,29,Female,Bronze,Paid Search
270,10/10/2022,CA,38,Male,Gold,Referral
271,11/19/2021,US,24,Male,Silver,Organic
272,1/25/2021,IN,40,Female,Bronze,Email
273,6/15/2021,BR,32,Male,Platinum,Organic
274,11/16/2023,DE,36,Female,Bronze,Paid Search
275,4/3/2022,UK,27,Male,Bronze,Organic
276,6/13/2022,US,28,Male,Bronze,Organic
277,5/27/2022,IN,18,Male,Silver,Social
