transaction_id,timestamp,customer_id,product_id,quantity,discount_applied,gross_revenue,campaign_id,refund_flag
80820,1/30/2021 6:32,2,1802,1,0.05,60.09,0,0
11222,11/19/2023 7:55,8,1794,1,0.15,65.25,26,0
82273,4/6/2022 23:00,9,1970,1,0.1,65.63,29,0
24209,8/31/2022 8:52,13,,3,0.05,,50,0
63602,12/1/2021 12:53,13,1715,1,0,71.9,17,0
4122,6/22/2022 12:48,14,928,1,0,76.14,0,0
89297,8/14/2022 9:47,17,1831,1,0.15,97.28,2,0
67094,10/15/2021 11:56,19,229,1,0,122.93,2,0
50094,11/2/2021 21:54,20,1369,1,0,19.54,29,0
56055,6/9/2021 7:05,20,50,2,0,37.26,25,0
68666,9/1/2023 18:46,20,212,1,0.1,49.02,9,0
98202,7/26/2022 11:03,20,157,1,0,18.65,7,0
79012,3/3/2021 15:52,21,850,2,0.05,171.32,18,0
35966,11/5/2022 2:11,22,209,2,0,162.78,40,0
44093,3/6/2021 14:13,22,805,1,0,118.65,24,0
67993,7/15/2022 20:04,22,1273,1,0.15,66.95,9,0
70542,7/14/2023 10:16,22,1753,3,0,128.94,13,0
28068,5/6/2022 23:28,23,561,1,0,73.88,42,0
3270,8/7/2021 15:24,25,1668,3,0,300.63,0,0
22887,9/8/2021 21:10,25,846,1,0,65.23,39,0
54945,4/25/2022 12:28,26,1314,1,0,54.35,0,0
87744,2/8/2022 4:27,28,1974,1,0,38.63,49,0
100205,12/15/2022 13:02,28,908,1,0,139.16,0,0
88243,2/19/2021 6:21,29,60,2,0,595.26,7,0
17472,1/28/2022 23:49,32,117,4,0.05,100.17,0,0
86040,7/9/2022 21:09,33,736,1,0.2,8.1,41,0
73495,6/3/2021 22:48,36,,1,0,,27,0
95709,2/18/2023 16:24,36,,1,0,,40,0
2648,5/2/2023 20:30,37,263,1,0,43.49,2,0
81980,2/24/2022 17:32,37,1351,1,0,16.04,48,0
42798,12/5/2022 3:44,41,368,3,0.1,449.71,29,0
84756,4/7/2022 20:03,41,1481,1,0.05,61.81,0,0
94035,12/18/2021 14:51,41,1517,1,0.1,108.53,10,0
32936,12/12/2022 0:40,44,932,1,0,103.79,9,0
11461,3/19/2022 1:09,46,362,2,0,274.72,38,0
45218,3/3/2022 13:33,46,160,1,0.1,46.11,42,0
64466,2/18/2023 21:18,46,1517,2,0,241.18,34,0
101465,2/26/2021 6:28,46,,2,0,,14,0
45254,4/15/2023 5:29,47,,2,0.05,,5,0
99036,7/22/2022 7:09,47,1679,1,0.15,29.91,0,0
31307,2/20/2022 22:49,48,726,1,0,171.12,23,0
8672,2/7/2021 23:26,49,1475,1,0.15,39.19,44,0
3804,12/18/2022 11:55,50,1809,1,0,97.21,43,0
74642,4/18/2021 18:19,50,1336,1,0.05,95.88,28,0
84881,5/24/2023 21:02,50,1314,2,0,108.7,0,0
87253,7/16/2023 20:23,50,,1,0,,25,1
10653,1/18/2023 23:23,51,838,1,0.2,42.15,25,0
66646,7/10/2021 10:49,52,1567,2,0,138.3,29,0
84403,8/26/2022 5:12,53,461,1,0.15,15.95,5,0
14397,7/3/2021 18:56,55,1980,2,0,-22.22,12,1
56779,1/28/2023 10:32,55,1019,2,0,-136.56,15,1
93003,1/18/2023 14:54,55,1350,1,0,100.74,18,0
58714,6/22/2023 23:12,56,,1,0,,7,0
91115,8/17/2022 18:05,56,623,1,0.1,55.22,30,0
66147,9/4/2022 5:47,57,1579,1,0.05,17.78,10,0
39313,11/2/2023 18:24,60,,1,0.05,,29,0
43405,11/13/2022 2:48,62,1029,1,0.1,32.63,16,0
23941,10/4/2022 22:15,63,281,1,0,18.07,23,0
30107,9/12/2022 12:58,63,705,1,0,279.87,15,0
61866,4/6/2022 15:39,64,1348,1,0,111.58,0,0
14842,5/27/2021 6:33,66,1719,1,0,53.58,26,0
21807,9/21/2021 11:16,67,1346,2,0,275.42,0,0
74634,3/4/2022 17:16,67,1339,2,0,60.64,2,0
15263,1/28/2022 0:12,68,1462,1,0.15,64.83,1,0
70581,6/25/2022 19:32,68,1692,1,0.05,-31.42,0,1
5903,1/15/2022 21:44,69,457,2,0,52.98,0,0
13269,5/7/2021 4:03,71,1603,1,0,73.3,34,0
25741,11/27/2023 6:49,71,536,1,0.05,26.46,4,0
28436,1/10/2021 20:08,72,1329,1,0,110.08,9,0
33128,5/26/2023 5:01,72,206,1,0,51.19,11,0
26773,10/10/2023 21:31,73,1695,4,0.1,319.61,42,0
4587,1/5/2023 13:33,74,450,1,0.1,68.14,21,0
71076,11/26/2023 0:59,74,1346,1,0,137.71,19,0
90905,9/26/2023 7:30,74,392,1,0.05,11.34,25,0
23871,11/15/2022 10:38,75,,1,0.05,,0,0
44108,3/30/2023 17:04,75,858,1,0,21.46,18,0
70448,12/22/2023 18:39,75,1766,2,0.2,46.94,11,0
97680,12/27/2022 6:02,77,934,1,0,41.65,25,0
14046,10/5/2021 5:35,79,907,1,0,28.26,29,0
39332,8/10/2021 7:19,79,362,1,0.15,116.76,40,0
52491,11/29/2023 15:24,79,107,1,0,29.8,19,0
53152,12/16/2021 14:05,80,,1,0,,17,0
561,4/30/2021 21:54,81,315,1,0,76.56,48,0
12690,6/6/2022 5:31,82,238,1,0,27,45,0
17563,12/2/2021 21:22,82,183,1,0.15,21.16,14,0
86184,1/15/2023 15:35,84,1862,1,0.15,216.19,27,0
21394,12/8/2023 11:19,86,169,3,0,324.09,35,0
55739,9/25/2021 18:28,86,1763,1,0,136.97,33,0
92306,7/3/2021 19:44,86,149,1,0,163.21,33,0
73600,8/15/2022 5:01,87,1079,1,0,68.17,9,0
18834,6/26/2023 9:19,88,838,1,0,52.69,6,0
6380,8/30/2021 11:45,93,,1,0,,0,0
78534,5/2/2021 6:07,93,339,1,0.15,15.43,28,0
6938,1/25/2021 13:06,95,1048,1,0,81.23,20,0
42094,5/23/2021 16:55,95,1677,4,0,255.44,0,0
72509,9/12/2023 11:09,95,423,1,0.15,58.38,0,0
74091,11/13/2022 13:06,95,1563,1,0.1,95.66,44,0
15958,5/20/2023 8:44,99,417,1,0,99.3,37,0
53787,4/26/2022 17:28,99,489,4,0.15,95.2,6,0
41121,6/7/2023 9:34,100,1024,2,0,143.16,45,0
80150,12/24/2021 5:27,100,845,2,0,106.4,50,0
10734,12/3/2022 7:45,101,1784,3,0.05,224.61,0,0
102465,10/8/2021 21:17,101,1354,2,0,87.7,0,0
3870,11/5/2022 18:57,102,1579,1,0,18.72,25,0
93107,9/25/2023 14:25,102,13,1,0.2,49.45,25,0
99633,2/17/2021 19:59,102,,1,0,,15,0
21826,1/20/2021 0:33,104,1243,1,0,48.26,20,0
48422,5/29/2023 20:25,104,378,2,0,227.44,48,0
52575,4/22/2023 21:26,104,,2,0,,49,0
61153,1/2/2022 22:24,104,18,1,0,72.39,0,0
65256,9/4/2022 4:56,104,1363,1,0,-47.25,7,1
64215,12/31/2021 21:53,106,636,1,0,106.38,0,0
84465,10/6/2021 21:30,106,103,2,0.05,-128.14,44,1
103116,12/26/2021 9:08,106,1763,1,0.05,130.12,10,0
84929,10/15/2023 13:55,108,520,1,0,19.79,1,0
26593,5/28/2023 12:11,110,329,4,0.05,287.09,27,0
377,12/27/2023 13:30,111,909,1,0,19.95,18,0
64112,3/12/2022 8:44,111,,1,0.2,,30,0
67471,2/26/2022 11:14,111,1119,1,0.1,75.37,2,0
63663,2/9/2023 0:36,112,1898,1,0,26.64,39,0
80029,1/18/2022 13:47,113,486,1,0.1,77.29,45,0
7094,11/13/2023 19:23,115,1820,2,0,151.56,4,0
89387,4/6/2021 14:53,118,1993,1,0.05,44.1,44,0
81920,4/21/2022 7:18,119,937,1,0.15,104.12,7,0
58289,12/8/2022 23:06,120,1043,2,0,19.46,34,0
92589,6/19/2021 16:24,121,1368,2,0,33.92,19,0
51632,2/22/2022 23:21,122,1080,1,0.05,37.34,48,0
74131,8/19/2021 6:57,123,99,1,0.05,16.94,30,0
88355,8/27/2023 17:59,123,1426,1,0.15,5.95,48,0
13359,1/19/2021 15:33,124,222,1,0,80.73,0,0
28096,6/12/2022 0:46,124,484,1,0.15,158.02,4,0
78240,5/21/2022 16:02,124,1807,1,0,26.19,0,0
22149,8/9/2023 5:25,125,193,1,0.1,19.2,20,0
34072,11/21/2022 3:55,125,1166,2,0,155.26,16,0
19086,9/4/2022 14:16,126,1889,2,0,40.18,49,0
58309,6/25/2022 12:15,127,1552,1,0,75.08,22,0
22985,8/13/2021 18:45,128,602,2,0,163,26,0
25442,10/2/2022 15:38,128,1664,1,0,34.32,10,0
27681,3/9/2022 21:15,129,1479,2,0,27.04,0,0
88981,1/14/2022 8:31,129,1707,1,0,-69.56,10,1
17321,8/16/2023 4:11,132,1257,1,0.05,83.65,16,0
34018,6/17/2022 21:24,133,501,2,0,42.58,9,0
8751,12/25/2023 4:10,134,891,1,0.2,75.76,40,0
42891,4/11/2022 8:19,135,261,1,0.15,45.47,25,0
100706,11/6/2021 11:29,135,670,2,0,171.48,14,0
102818,3/20/2022 20:15,135,971,2,0.15,344.35,34,0
60896,9/11/2023 14:47,136,1481,3,0,195.18,9,0
28901,1/22/2022 4:26,138,26,1,0,57.72,8,0
19835,4/3/2022 14:24,139,1293,2,0,16.58,18,0
20616,12/1/2023 18:22,139,1668,1,0,100.21,0,0
76190,12/21/2023 6:34,139,1263,1,0,46.73,33,0
74812,10/21/2023 19:50,141,543,1,0.15,95.23,32,0
46208,8/25/2023 13:24,142,1874,1,0,9.08,25,0
57735,12/14/2021 11:09,142,542,1,0.1,51.7,0,0
70053,7/30/2023 13:47,144,993,1,0.2,39.2,9,0
5912,7/3/2022 12:52,145,1928,2,0.2,-246.67,0,1
89675,2/10/2023 10:33,145,519,2,0,120.18,14,0
9730,1/5/2022 16:22,146,1162,1,0,73.01,26,0
11330,12/7/2021 20:56,146,,1,0,,0,0
19798,11/4/2023 11:43,149,1187,1,0,70.27,40,0
89168,2/12/2021 13:44,152,1922,1,0,100.06,10,0
47176,11/10/2023 4:17,153,1446,1,0,42.41,35,0
93493,2/22/2023 18:13,154,1281,2,0,267.66,2,0
95070,4/16/2022 19:49,159,1452,1,0.05,48.76,0,0
56856,8/27/2023 5:20,160,746,1,0.1,13.81,15,0
81093,4/26/2023 14:14,160,144,1,0,53.71,48,0
93929,11/28/2021 3:21,161,316,1,0.2,230.76,3,0
42960,2/7/2023 8:32,162,598,1,0,131.34,16,0
71722,8/15/2022 14:46,162,46,2,0.2,278.78,19,0
59639,6/23/2023 17:40,164,1213,1,0,79.31,23,0
74502,5/24/2021 22:11,165,836,1,0.05,161.9,20,0
83612,12/28/2023 13:10,166,1890,1,0.1,42.42,0,0
7273,5/23/2023 1:58,167,,1,0.2,,5,0
22996,6/28/2022 18:43,167,109,1,0,24.48,12,0
26049,9/23/2021 12:13,167,1944,2,0.1,154.66,11,0
79365,11/4/2021 13:20,168,,1,0.05,,29,0
88417,6/16/2021 7:42,168,616,1,0,82.85,0,0
94843,12/15/2021 0:34,169,1110,1,0,29.13,21,0
51417,10/30/2023 13:34,173,1254,1,0.15,14.16,41,0
51062,3/29/2023 20:34,175,1895,3,0,85.89,24,0
100213,6/11/2023 12:31,176,1099,1,0.05,117.68,22,0
66502,10/3/2022 5:02,177,334,1,0,73.08,23,0
8846,11/5/2022 14:37,178,939,1,0.1,52.97,9,0
59803,8/2/2022 21:25,178,780,1,0,59.35,18,0
86223,10/15/2021 10:35,178,1028,1,0.05,130.19,13,0
